image,GT,Prediction
0000.JPG,8,0
0001.JPG,15,12
0002.JPG,61,40
0003.JPG,12,10
0004.JPG,14,0
0005.JPG,5,0
0006.JPG,7,0
0007.JPG,19,18
0008.JPG,10,0
0009.JPG,10,8
0010.JPG,9,8
0011.JPG,21,20
0012.JPG,10,9
0013.JPG,17,0
0014.JPG,30,15
0015.JPG,14,0
0016.JPG,7,11
0017.JPG,6,5
0018.JPG,26,15
0019.JPG,9,10
0020.JPG,9,10
0021.JPG,30,1
0022.JPG,12,9
0023.JPG,12,9
0024.JPG,16,15
0025.JPG,16,12
0026.JPG,12,10
0027.JPG,22,21
0028.JPG,13,19
0029.JPG,13,14
0030.JPG,3,2
0031.JPG,24,19
0032.JPG,6,4
0033.JPG,13,10
0034.JPG,5,9
0035.JPG,9,5
0036.JPG,8,4
0037.JPG,13,10
0038.JPG,20,22
0039.JPG,20,11
0040.JPG,21,21
0041.JPG,22,15
0042.JPG,19,16
0043.JPG,7,7
0044.JPG,5,4
0045.JPG,23,22
0046.JPG,8,7
0047.JPG,13,0
0048.JPG,14,0
0049.JPG,23,19
0050.JPG,10,11
0051.JPG,5,4
0052.JPG,7,6
0053.JPG,14,12
0054.JPG,7,4
0055.JPG,8,13
0056.JPG,14,6
0057.JPG,19,16
0058.JPG,8,11
0059.JPG,14,0
0060.JPG,18,0
0061.JPG,6,5
0062.JPG,20,8
0063.JPG,17,16
0064.JPG,14,16
0065.JPG,8,5
0066.JPG,23,14
0067.JPG,13,10
0068.JPG,8,0
0069.JPG,10,1
0070.JPG,15,14
0071.JPG,8,5
0072.JPG,7,0
0073.JPG,6,0
0074.JPG,16,13
0075.JPG,29,23
0076.JPG,11,10
0077.JPG,32,28
0078.JPG,5,4
0079.JPG,13,9
0080.JPG,28,16
0081.JPG,10,6
0082.JPG,14,14
0083.JPG,36,25
0084.JPG,14,10
0085.JPG,22,10
0086.JPG,9,12
0087.JPG,8,11
0088.JPG,9,0
0089.JPG,21,0
0090.JPG,21,0
0091.JPG,23,0
0092.JPG,31,27
0093.JPG,21,15
0094.JPG,10,7
0095.JPG,8,8
0096.JPG,10,11
0097.JPG,25,22
0098.JPG,29,21
0099.JPG,7,10
0100.JPG,19,14
0101.JPG,19,15
0102.JPG,12,10
0103.JPG,26,22
0104.JPG,21,19
0105.JPG,8,8
0106.JPG,11,7
0107.JPG,21,0
0108.JPG,12,11
0109.JPG,3,2
0110.JPG,23,22
0111.JPG,6,5
0112.JPG,14,0
0113.JPG,39,32
0114.JPG,6,6
0115.JPG,22,16
0116.JPG,15,15
0117.JPG,22,17
0118.JPG,23,13
0119.JPG,15,11
0120.JPG,20,17
0121.JPG,6,8
0122.JPG,28,24
0123.JPG,14,15
0124.JPG,12,8
0125.JPG,10,8
0126.JPG,4,5
0127.JPG,23,12
0128.JPG,24,13
0129.JPG,12,11
0130.JPG,2,2
0131.JPG,18,13
0132.JPG,19,20
0133.JPG,6,5
0134.JPG,24,17
0135.JPG,26,20
0136.JPG,5,6
0137.JPG,9,8
0138.JPG,18,17
0139.JPG,20,12
0140.JPG,7,7
0141.JPG,7,10
0142.JPG,6,2
0143.JPG,31,29
0144.JPG,20,17
0145.JPG,18,0
0146.JPG,13,12
0147.JPG,6,0
0148.JPG,12,9
0149.JPG,39,7
0150.JPG,20,19
0151.JPG,11,11
0152.JPG,21,13
0153.JPG,21,13
0154.JPG,21,17
0155.JPG,4,6
0156.JPG,11,13
0157.JPG,28,20
0158.JPG,4,0
0159.JPG,17,15
0160.JPG,15,14
0161.JPG,24,17
0162.JPG,7,5
0163.JPG,19,13
0164.JPG,8,7
0165.JPG,8,0
0166.JPG,8,9
0167.JPG,8,4
0168.JPG,23,23
0169.JPG,12,0
0170.JPG,8,0
0171.JPG,18,18
0172.JPG,33,11
0173.JPG,12,0
0174.JPG,25,14
0175.JPG,5,0
0176.JPG,26,20
0177.JPG,10,0
0178.JPG,19,18
0179.JPG,10,4
0180.JPG,8,0
0181.JPG,8,6
0182.JPG,15,13
0183.JPG,17,13
0184.JPG,46,33
0185.JPG,40,29
0186.JPG,18,16
0187.JPG,7,8
0188.JPG,22,19
0189.JPG,23,22
0190.JPG,15,2
0191.JPG,6,0
0192.JPG,8,7
0193.JPG,36,19
0194.JPG,17,16
0195.JPG,20,0
0196.JPG,10,11
0197.JPG,13,12
0198.JPG,23,23
0199.JPG,8,11
0200.JPG,21,17
0201.JPG,6,0
0202.JPG,16,0
0203.JPG,16,14
0204.JPG,18,17
0205.JPG,12,8
0206.JPG,21,7
0207.JPG,5,5
0208.JPG,22,14
0209.JPG,47,31
0210.JPG,28,26
0211.JPG,20,14
0212.JPG,13,8
0213.JPG,10,0
0214.JPG,20,16
0215.JPG,25,20
0216.JPG,9,14
0217.JPG,7,6
0218.JPG,6,3
0219.JPG,13,12
0220.JPG,11,12
0221.JPG,10,8
0222.JPG,11,8
0223.JPG,18,19
0224.JPG,7,0
0225.JPG,14,8
0226.JPG,31,26
0227.JPG,15,12
0228.JPG,11,19
0229.JPG,23,21
0230.JPG,2,2
0231.JPG,26,2
0232.JPG,28,18
0233.JPG,9,7
0234.JPG,17,13
0235.JPG,11,11
0236.JPG,13,10
0237.JPG,7,8
0238.JPG,8,7
0239.JPG,13,11
0240.JPG,13,11
0241.JPG,16,13
0242.JPG,24,20
0243.JPG,7,8
0244.JPG,15,10
0245.JPG,16,16
0246.JPG,5,5
0247.JPG,18,15
0248.JPG,40,25
0249.JPG,11,8
0250.JPG,22,12
0251.JPG,6,6
0252.JPG,14,15
0253.JPG,19,16
0254.JPG,18,11
0255.JPG,7,11
0256.JPG,20,20
0257.JPG,43,11
0258.JPG,5,5
0259.JPG,22,19
0260.JPG,10,19
0261.JPG,4,6
0262.JPG,21,0
0263.JPG,19,13
0264.JPG,7,6
0265.JPG,6,9
0266.JPG,17,17
0267.JPG,20,21
0268.JPG,23,19
0269.JPG,16,15
0270.JPG,14,12
0271.JPG,13,9
0272.JPG,16,16
0273.JPG,36,25
0274.JPG,7,7
0275.JPG,16,4
0276.JPG,15,12
0277.JPG,21,22
0278.JPG,10,7
0279.JPG,7,0
0280.JPG,25,17
0281.JPG,11,12
0282.JPG,12,12
0283.JPG,5,0
0284.JPG,29,20
0285.JPG,14,12
0286.JPG,22,19
0287.JPG,9,6
0288.JPG,21,22
0289.JPG,39,25
0290.JPG,20,18
0291.JPG,13,0
0292.JPG,19,15
0293.JPG,31,20
0294.JPG,14,13
0295.JPG,10,8
0296.JPG,6,8
0297.JPG,6,9
0298.JPG,24,27
0299.JPG,12,0
0300.JPG,5,6
0301.JPG,9,7
0302.JPG,29,21
0303.JPG,12,10
0304.JPG,9,7
0305.JPG,23,18
0306.JPG,21,20
0307.JPG,21,19
0308.JPG,4,6
0309.JPG,20,18
0310.JPG,22,22
0311.JPG,6,0
0312.JPG,15,17
0313.JPG,18,16
0314.JPG,9,9
0315.JPG,19,12
0316.JPG,10,11
0317.JPG,12,10
0318.JPG,20,19
0319.JPG,29,24
0320.JPG,5,6
0321.JPG,4,0
0322.JPG,27,21
0323.JPG,10,11
0324.JPG,17,12
0325.JPG,33,26
0326.JPG,15,1
0327.JPG,11,12
0328.JPG,14,0
0329.JPG,13,6
0330.JPG,11,7
0331.JPG,18,17
0332.JPG,8,6
0333.JPG,9,10
0334.JPG,9,0
0335.JPG,4,3
0336.JPG,12,10
0337.JPG,6,0
0338.JPG,12,8
0339.JPG,10,6
0340.JPG,15,11
0341.JPG,32,25
0342.JPG,24,6
0343.JPG,40,32
0344.JPG,7,3
0345.JPG,6,0
0346.JPG,30,0
0347.JPG,18,17
0348.JPG,19,28
0349.JPG,31,24
0350.JPG,13,12
0351.JPG,13,12
0352.JPG,9,0
0353.JPG,7,0
0354.JPG,44,27
0355.JPG,7,7
0356.JPG,15,14
0357.JPG,86,34
0358.JPG,32,15
0359.JPG,27,17
0360.JPG,15,12
0361.JPG,30,23
0362.JPG,18,18
0363.JPG,14,11
0364.JPG,13,0
0365.JPG,24,0
0366.JPG,7,0
0367.JPG,16,17
0368.JPG,36,25
0369.JPG,12,14
0370.JPG,12,10
0371.JPG,17,21
0372.JPG,9,8
0373.JPG,14,12
0374.JPG,14,12
0375.JPG,10,0
0376.JPG,28,21
0377.JPG,7,6
0378.JPG,15,0
0379.JPG,8,12
0380.JPG,24,19
0381.JPG,26,22
0382.JPG,44,26
0383.JPG,7,0
0384.JPG,22,21
0385.JPG,34,23
0386.JPG,6,3
0387.JPG,9,2
0388.JPG,16,17
0389.JPG,21,11
0390.JPG,22,21
0391.JPG,11,0
0392.JPG,11,9
0393.JPG,14,14
0394.JPG,9,10
0395.JPG,20,18
0396.JPG,8,0
0397.JPG,10,8
0398.JPG,8,8
0399.JPG,16,12
0400.JPG,21,22
0401.JPG,10,0
0402.JPG,8,0
0403.JPG,10,7
0404.JPG,5,9
0405.JPG,2,0
