image,GT,Prediction
0000.JPG,8,4
0001.JPG,15,1
0002.JPG,61,5
0003.JPG,12,4
0004.JPG,14,4
0005.JPG,5,6
0006.JPG,7,1
0007.JPG,19,2
0008.JPG,10,1
0009.JPG,10,5
0010.JPG,9,1
0011.JPG,21,3
0012.JPG,10,4
0013.JPG,17,0
0014.JPG,30,6
0015.JPG,14,2
0016.JPG,7,2
0017.JPG,6,4
0018.JPG,26,1
0019.JPG,9,4
0020.JPG,9,4
0021.JPG,30,1
0022.JPG,12,6
0023.JPG,12,5
0024.JPG,16,8
0025.JPG,16,3
0026.JPG,12,5
0027.JPG,22,1
0028.JPG,13,4
0029.JPG,13,3
0030.JPG,3,1
0031.JPG,24,7
0032.JPG,6,3
0033.JPG,13,1
0034.JPG,5,2
0035.JPG,9,1
0036.JPG,8,6
0037.JPG,13,2
0038.JPG,20,4
0039.JPG,20,3
0040.JPG,21,0
0041.JPG,22,7
0042.JPG,19,9
0043.JPG,7,4
0044.JPG,5,1
0045.JPG,23,10
0046.JPG,8,5
0047.JPG,13,5
0048.JPG,14,0
0049.JPG,23,9
0050.JPG,10,5
0051.JPG,5,3
0052.JPG,7,4
0053.JPG,14,0
0054.JPG,7,2
0055.JPG,8,0
0056.JPG,14,3
0057.JPG,19,9
0058.JPG,8,2
0059.JPG,14,3
0060.JPG,18,0
0061.JPG,6,3
0062.JPG,20,5
0063.JPG,17,6
0064.JPG,14,3
0065.JPG,8,5
0066.JPG,23,1
0067.JPG,13,5
0068.JPG,8,2
0069.JPG,10,1
0070.JPG,15,3
0071.JPG,8,3
0072.JPG,7,0
0073.JPG,6,1
0074.JPG,16,0
0075.JPG,29,6
0076.JPG,11,6
0077.JPG,32,4
0078.JPG,5,2
0079.JPG,13,0
0080.JPG,28,5
0081.JPG,10,2
0082.JPG,14,2
0083.JPG,36,3
0084.JPG,14,0
0085.JPG,22,5
0086.JPG,9,2
0087.JPG,8,2
0088.JPG,9,0
0089.JPG,21,0
0090.JPG,21,0
0091.JPG,23,2
0092.JPG,31,3
0093.JPG,21,5
0094.JPG,10,2
0095.JPG,8,5
0096.JPG,10,1
0097.JPG,25,1
0098.JPG,29,5
0099.JPG,7,3
0100.JPG,19,8
0101.JPG,19,6
0102.JPG,12,6
0103.JPG,26,8
0104.JPG,21,9
0105.JPG,8,2
0106.JPG,11,5
0107.JPG,21,0
0108.JPG,12,0
0109.JPG,3,0
0110.JPG,23,2
0111.JPG,6,2
0112.JPG,14,0
0113.JPG,39,6
0114.JPG,6,2
0115.JPG,22,4
0116.JPG,15,2
0117.JPG,22,3
0118.JPG,23,9
0119.JPG,15,1
0120.JPG,20,0
0121.JPG,6,1
0122.JPG,28,3
0123.JPG,14,2
0124.JPG,12,5
0125.JPG,10,2
0126.JPG,4,2
0127.JPG,23,8
0128.JPG,24,6
0129.JPG,12,2
0130.JPG,2,2
0131.JPG,18,3
0132.JPG,19,0
0133.JPG,6,3
0134.JPG,24,8
0135.JPG,26,6
0136.JPG,5,4
0137.JPG,9,2
0138.JPG,18,4
0139.JPG,20,5
0140.JPG,7,6
0141.JPG,7,2
0142.JPG,6,2
0143.JPG,31,3
0144.JPG,20,10
0145.JPG,18,0
0146.JPG,13,6
0147.JPG,6,3
0148.JPG,12,7
0149.JPG,39,1
0150.JPG,20,1
0151.JPG,11,8
0152.JPG,21,5
0153.JPG,21,4
0154.JPG,21,3
0155.JPG,4,1
0156.JPG,11,2
0157.JPG,28,2
0158.JPG,4,2
0159.JPG,17,3
0160.JPG,15,4
0161.JPG,24,5
0162.JPG,7,2
0163.JPG,19,8
0164.JPG,8,5
0165.JPG,8,1
0166.JPG,8,6
0167.JPG,8,3
0168.JPG,23,1
0169.JPG,12,2
0170.JPG,8,1
0171.JPG,18,6
0172.JPG,33,1
0173.JPG,12,2
0174.JPG,25,7
0175.JPG,5,1
0176.JPG,26,3
0177.JPG,10,4
0178.JPG,19,2
0179.JPG,10,0
0180.JPG,8,2
0181.JPG,8,4
0182.JPG,15,8
0183.JPG,17,4
0184.JPG,46,6
0185.JPG,40,3
0186.JPG,18,0
0187.JPG,7,5
0188.JPG,22,5
0189.JPG,23,2
0190.JPG,15,2
0191.JPG,6,2
0192.JPG,8,3
0193.JPG,36,6
0194.JPG,17,5
0195.JPG,20,0
0196.JPG,10,3
0197.JPG,13,7
0198.JPG,23,1
0199.JPG,8,3
0200.JPG,21,8
0201.JPG,6,3
0202.JPG,16,0
0203.JPG,16,4
0204.JPG,18,0
0205.JPG,12,4
0206.JPG,21,1
0207.JPG,5,1
0208.JPG,22,5
0209.JPG,47,4
0210.JPG,28,2
0211.JPG,20,5
0212.JPG,13,5
0213.JPG,10,4
0214.JPG,20,2
0215.JPG,25,2
0216.JPG,9,4
0217.JPG,7,2
0218.JPG,6,1
0219.JPG,13,4
0220.JPG,11,5
0221.JPG,10,2
0222.JPG,11,5
0223.JPG,18,12
0224.JPG,7,3
0225.JPG,14,4
0226.JPG,31,4
0227.JPG,15,6
0228.JPG,11,7
0229.JPG,23,6
0230.JPG,2,2
0231.JPG,26,2
0232.JPG,28,3
0233.JPG,9,3
0234.JPG,17,3
0235.JPG,11,4
0236.JPG,13,4
0237.JPG,7,7
0238.JPG,8,2
0239.JPG,13,4
0240.JPG,13,5
0241.JPG,16,4
0242.JPG,24,3
0243.JPG,7,5
0244.JPG,15,5
0245.JPG,16,9
0246.JPG,5,1
0247.JPG,18,6
0248.JPG,40,8
0249.JPG,11,2
0250.JPG,22,6
0251.JPG,6,5
0252.JPG,14,5
0253.JPG,19,5
0254.JPG,18,7
0255.JPG,7,5
0256.JPG,20,3
0257.JPG,43,1
0258.JPG,5,1
0259.JPG,22,2
0260.JPG,10,0
0261.JPG,4,4
0262.JPG,21,0
0263.JPG,19,6
0264.JPG,7,4
0265.JPG,6,5
0266.JPG,17,2
0267.JPG,20,2
0268.JPG,23,2
0269.JPG,16,3
0270.JPG,14,5
0271.JPG,13,7
0272.JPG,16,11
0273.JPG,36,1
0274.JPG,7,0
0275.JPG,16,2
0276.JPG,15,5
0277.JPG,21,1
0278.JPG,10,5
0279.JPG,7,0
0280.JPG,25,4
0281.JPG,11,3
0282.JPG,12,8
0283.JPG,5,0
0284.JPG,29,4
0285.JPG,14,6
0286.JPG,22,4
0287.JPG,9,2
0288.JPG,21,4
0289.JPG,39,6
0290.JPG,20,4
0291.JPG,13,0
0292.JPG,19,4
0293.JPG,31,2
0294.JPG,14,8
0295.JPG,10,6
0296.JPG,6,2
0297.JPG,6,5
0298.JPG,24,3
0299.JPG,12,2
0300.JPG,5,4
0301.JPG,9,3
0302.JPG,29,2
0303.JPG,12,4
0304.JPG,9,2
0305.JPG,23,5
0306.JPG,21,9
0307.JPG,21,11
0308.JPG,4,3
0309.JPG,20,2
0310.JPG,22,1
0311.JPG,6,0
0312.JPG,15,11
0313.JPG,18,3
0314.JPG,9,3
0315.JPG,19,1
0316.JPG,10,7
0317.JPG,12,6
0318.JPG,20,10
0319.JPG,29,4
0320.JPG,5,1
0321.JPG,4,3
0322.JPG,27,4
0323.JPG,10,5
0324.JPG,17,0
0325.JPG,33,1
0326.JPG,15,0
0327.JPG,11,5
0328.JPG,14,2
0329.JPG,13,3
0330.JPG,11,2
0331.JPG,18,1
0332.JPG,8,1
0333.JPG,9,4
0334.JPG,9,2
0335.JPG,4,1
0336.JPG,12,4
0337.JPG,6,2
0338.JPG,12,5
0339.JPG,10,2
0340.JPG,15,8
0341.JPG,32,7
0342.JPG,24,1
0343.JPG,40,3
0344.JPG,7,0
0345.JPG,6,1
0346.JPG,30,0
0347.JPG,18,2
0348.JPG,19,0
0349.JPG,31,8
0350.JPG,13,6
0351.JPG,13,5
0352.JPG,9,2
0353.JPG,7,2
0354.JPG,44,4
0355.JPG,7,5
0356.JPG,15,2
0357.JPG,86,1
0358.JPG,32,6
0359.JPG,27,5
0360.JPG,15,2
0361.JPG,30,4
0362.JPG,18,9
0363.JPG,14,0
0364.JPG,13,1
0365.JPG,24,0
0366.JPG,7,3
0367.JPG,16,3
0368.JPG,36,5
0369.JPG,12,6
0370.JPG,12,4
0371.JPG,17,8
0372.JPG,9,5
0373.JPG,14,7
0374.JPG,14,7
0375.JPG,10,2
0376.JPG,28,3
0377.JPG,7,1
0378.JPG,15,4
0379.JPG,8,7
0380.JPG,24,3
0381.JPG,26,4
0382.JPG,44,6
0383.JPG,7,2
0384.JPG,22,1
0385.JPG,34,4
0386.JPG,6,2
0387.JPG,9,2
0388.JPG,16,0
0389.JPG,21,0
0390.JPG,22,0
0391.JPG,11,4
0392.JPG,11,5
0393.JPG,14,4
0394.JPG,9,4
0395.JPG,20,9
0396.JPG,8,1
0397.JPG,10,4
0398.JPG,8,4
0399.JPG,16,2
0400.JPG,21,9
0401.JPG,10,2
0402.JPG,8,2
0403.JPG,10,1
0404.JPG,5,1
0405.JPG,2,0
0406.JPG,7,0
0407.JPG,18,0
0408.JPG,27,3
0409.JPG,8,6
0410.JPG,8,1
0411.JPG,17,5
0412.JPG,15,4
0413.JPG,13,0
0414.JPG,5,3
0415.JPG,18,7
0416.JPG,21,4
0417.JPG,11,6
0418.JPG,12,4
0419.JPG,45,5
0420.JPG,14,8
0421.JPG,16,0
0422.JPG,19,7
0423.JPG,12,1
0424.JPG,8,2
0425.JPG,8,6
0426.JPG,29,2
0427.JPG,18,0
0428.JPG,60,1
0429.JPG,17,9
0430.JPG,19,3
0431.JPG,5,2
0432.JPG,11,7
0433.JPG,7,2
0434.JPG,13,6
0435.JPG,8,3
0436.JPG,21,4
0437.JPG,11,3
0438.JPG,30,4
0439.JPG,16,7
0440.JPG,7,4
0441.JPG,11,3
0442.JPG,20,5
0443.JPG,12,0
0444.JPG,8,5
0445.JPG,13,3
0446.JPG,16,1
0447.JPG,17,0
0448.JPG,31,0
0449.JPG,23,8
0450.JPG,13,4
0451.JPG,23,1
0452.JPG,10,3
0453.JPG,16,1
0454.JPG,6,2
0455.JPG,10,5
0456.JPG,7,1
0457.JPG,3,1
0458.JPG,21,1
0459.JPG,13,0
0460.JPG,15,2
0461.JPG,7,6
0462.JPG,9,3
0463.JPG,31,2
0464.JPG,14,2
0465.JPG,4,1
0466.JPG,10,7
0467.JPG,10,3
0468.JPG,17,0
0469.JPG,34,4
0470.JPG,8,1
0471.JPG,11,4
0472.JPG,7,6
0473.JPG,13,3
0474.JPG,9,4
0475.JPG,18,1
0476.JPG,15,0
0477.JPG,13,0
0478.JPG,6,5
0479.JPG,24,6
0480.JPG,22,2
0481.JPG,13,0
0482.JPG,19,6
0483.JPG,7,1
0484.JPG,10,3
0485.JPG,32,5
0486.JPG,8,7
0487.JPG,15,6
0488.JPG,7,7
0489.JPG,18,5
0490.JPG,18,3
0491.JPG,20,1
0492.JPG,14,0
0493.JPG,14,3
0494.JPG,15,6
0495.JPG,11,4
0496.JPG,16,4
0497.JPG,24,6
0498.JPG,4,4
0499.JPG,20,2
0500.JPG,19,2
0501.JPG,24,3
0502.JPG,8,4
0503.JPG,20,8
0504.JPG,8,1
0505.JPG,12,5
0506.JPG,13,0
0507.JPG,8,2
0508.JPG,94,1
0509.JPG,4,5
0510.JPG,14,2
0511.JPG,15,4
0512.JPG,7,5
0513.JPG,6,4
0514.JPG,8,1
0515.JPG,31,2
0516.JPG,20,8
0517.JPG,21,2
0518.JPG,9,6
0519.JPG,9,2
