image,GT,Prediction
0000.JPG,8,0
0001.JPG,15,1
0002.JPG,61,0
0003.JPG,12,1
0004.JPG,14,0
0005.JPG,5,2
0006.JPG,7,0
0007.JPG,19,1
0008.JPG,10,0
0009.JPG,10,2
0010.JPG,9,2
0011.JPG,21,0
0012.JPG,10,2
0013.JPG,17,0
0014.JPG,30,0
0015.JPG,14,0
0016.JPG,7,2
0017.JPG,6,3
0018.JPG,26,1
0019.JPG,9,5
0020.JPG,9,0
0021.JPG,30,1
0022.JPG,12,1
0023.JPG,12,3
0024.JPG,16,4
0025.JPG,16,1
0026.JPG,12,2
0027.JPG,22,0
0028.JPG,13,2
0029.JPG,13,2
0030.JPG,3,2
0031.JPG,24,1
0032.JPG,6,1
0033.JPG,13,1
0034.JPG,5,2
0035.JPG,9,1
0036.JPG,8,6
0037.JPG,13,3
0038.JPG,20,0
0039.JPG,20,4
0040.JPG,21,0
0041.JPG,22,1
0042.JPG,19,2
0043.JPG,7,3
0044.JPG,5,1
0045.JPG,23,2
0046.JPG,8,4
0047.JPG,13,0
0048.JPG,14,0
0049.JPG,23,3
0050.JPG,10,1
0051.JPG,5,3
0052.JPG,7,0
0053.JPG,14,0
0054.JPG,7,2
0055.JPG,8,0
0056.JPG,14,1
0057.JPG,19,5
0058.JPG,8,0
0059.JPG,14,1
0060.JPG,18,0
0061.JPG,6,0
0062.JPG,20,3
0063.JPG,17,6
0064.JPG,14,1
0065.JPG,8,2
0066.JPG,23,1
0067.JPG,13,2
0068.JPG,8,0
0069.JPG,10,0
0070.JPG,15,1
0071.JPG,8,3
0072.JPG,7,0
0073.JPG,6,0
0074.JPG,16,0
0075.JPG,29,2
0076.JPG,11,3
0077.JPG,32,0
0078.JPG,5,2
0079.JPG,13,0
0080.JPG,28,2
0081.JPG,10,0
0082.JPG,14,0
0083.JPG,36,1
0084.JPG,14,1
0085.JPG,22,5
0086.JPG,9,0
0087.JPG,8,1
0088.JPG,9,0
0089.JPG,21,0
0090.JPG,21,0
0091.JPG,23,0
0092.JPG,31,2
0093.JPG,21,0
0094.JPG,10,0
0095.JPG,8,2
0096.JPG,10,1
0097.JPG,25,0
0098.JPG,29,0
0099.JPG,7,0
0100.JPG,19,1
0101.JPG,19,3
0102.JPG,12,0
0103.JPG,26,1
0104.JPG,21,3
0105.JPG,8,3
0106.JPG,11,2
0107.JPG,21,1
0108.JPG,12,2
0109.JPG,3,1
0110.JPG,23,0
0111.JPG,6,3
0112.JPG,14,3
0113.JPG,39,0
0114.JPG,6,2
0115.JPG,22,1
0116.JPG,15,0
0117.JPG,22,0
0118.JPG,23,0
0119.JPG,15,1
0120.JPG,20,1
0121.JPG,6,2
0122.JPG,28,1
0123.JPG,14,2
0124.JPG,12,2
0125.JPG,10,3
0126.JPG,4,0
0127.JPG,23,7
0128.JPG,24,4
0129.JPG,12,2
0130.JPG,2,5
0131.JPG,18,0
0132.JPG,19,0
0133.JPG,6,0
0134.JPG,24,1
0135.JPG,26,2
0136.JPG,5,4
0137.JPG,9,2
0138.JPG,18,5
0139.JPG,20,1
0140.JPG,7,4
0141.JPG,7,3
0142.JPG,6,3
0143.JPG,31,0
0144.JPG,20,5
0145.JPG,18,0
0146.JPG,13,0
0147.JPG,6,0
0148.JPG,12,2
0149.JPG,39,1
0150.JPG,20,0
0151.JPG,11,6
0152.JPG,21,4
0153.JPG,21,4
0154.JPG,21,2
0155.JPG,4,1
0156.JPG,11,1
0157.JPG,28,3
0158.JPG,4,4
